r,g,b
white,255,255,255
ivory,255,244,216
cream,255,241,182
lightyellowglaze,243,239,111
cadmiumyellowlemon,235,234,100
lightcadmiumyellow,255,231,62
lightchromeyellow,255,222,69
cadmiumyellow,255,213,48
darkcadmiumyellow,255,194,32
darkchromeyellow,250,166,50
cadmiumorange,247,143,38
orangeglaze,244,128,52
darkcadmiumorange,244,121,51
lightcadmiumred,240,85,68
scarletred,232,77,71
palegeraniumlake,239,70,80
deepscarletred,232,73,94
deepred,228,47,68
middlecadmiumred,188,69,79
permanentcarmine,216,44,74
darkred,166,48,85
magenta,147,78,103
madder,205,63,92
alizarincrimson,223,45,93
pinkcarmine,232,82,116
rosecarmine,233,92,114
fuchsia,239,76,134
middlepurplepink,195,64,139
lightpurplepink,240,109,152
pinkmadderlake,243,137,178
lightmagenta,215,134,185
lightred-violet,171,104,161
red-violet,136,73,109
crimson,161,77,157
manganeseviolet,154,105,173
violet,138,107,175
purpleviolet,115,88,160
blueviolet,89,82,158
mauve,97,87,161
Delftblue,72,79,159
darkindigo,62,74,91
indanthreneblue,68,94,152
helioblue-reddish,23,112,184
cobaltblue,5,106,181
ultramarine,80,109,180
lightultramarine,101,154,210
skyblue,134,178,223
cobaltblue-greenish,21,109,182
phthaloblue,11,125,194
middlephthaloblue,48,156,214
lightphthaloblue,67,172,225
bluishturquoise,0,119,162
Prussianblue,18,100,149
helioturquoise,8,126,144
cobaltturquoise,0,130,162
lightcobaltturquoise,102,203,218
cobaltgreen,1,186,189
deepcobaltgreen,20,107,96
Hooker´sgreen,11,119,100
darkphthalogreen,0,147,120
chromeoxidegreenfiery,0,152,127
phthalogreen,0,176,145
emeraldgreen,12,176,116
lightphthalogreen,56,184,143
lightgreen,160,209,133
grassgreen,118,194,95
leafgreen,73,185,92
permanentgreen,39,138,70
permanentgreenolive,76,122,79
pinegreen,49,92,72
chromeoxidegreen,74,97,75
junipergreen,68,105,77
olivegreenyellowish,91,93,68
maygreen,159,187,86
earthgreenyellowish,130,162,85
chromiumgreenopaque,101,113,79
earthgreen,115,140,112
caputmortuum,154,93,88
Indianred,145,71,74
caputmortuumviolet,130,78,81
burntcarmine,170,81,100
darkflesh,246,152,146
mediumflesh,246,156,153
lightflesh,251,194,159
cinnamon,228,168,147
Pompeianred,231,124,131
Venetianred,220,126,118
sanguine,215,114,85
burntochre,216,151,99
terracotta,236,142,89
lightyellowochre,242,188,95
Naplesyellow,248,210,90
darkNaplesochre,245,194,91
greengold,202,148,57
brownochre,196,146,93
rawumber,154,115,74
bistre,124,96,76
VanDyckbrown,108,89,84
nougat,146,124,107
burntumber,104,85,70
burntsiena,137,90,71
walnutbrown,93,79,72
darksepia,71,73,72
warmgreyVI,88,85,87
warmgreyV,98,96,96
warmgreyIV,124,126,127
warmgreyIII,168,165,159
warmgreyII,200,193,190
warmgreyI,217,208,206
coldgreyI,202,209,216
coldgreyII,190,196,204
coldgreyIII,172,177,184
coldgreyIV,142,178,152
coldgreyV,110,113,118
coldgreyVI,87,87,88
Payne´sgrey,72,78,85
black,5,5,5
silver,171,173,176
gold,205,192,141
copper,176,144,146
