nome,r,g,b
white,255,255,255
lightyellowglaze,243,239,111
cadmiumyellow,255,213,48
darkchromeyellow,250,166,50
darkcadmiumorange,244,121,51
deepscarletred,232,73,94
palegeraniumlake,239,70,80
darkred,166,48,85
magenta,147,78,103
helioblue-reddish,23,112,184
ultramarine,80,109,180
lightultramarine,101,154,210
phthaloblue,11,125,194
lightgreen,160,209,133
darkphthalogreen,0,147,120
emeraldgreen,12,176,116
earthgreenyellowish,130,162,85
Venetianred,220,126,118
burntochre,216,151,99
rawumber,154,115,74
walnutbrown,93,79,72
warmgreyV,98,96,96
warmgreyII,200,193,190
black,5,5,5
