contentId,completitionYear,paleta_rgb,paleta_dominancia
229254,1954,"(24, 52, 8)",2.6932377220045027
229254,1954,"(153, 167, 175)",31.756024347536062
229254,1954,"(82, 173, 43)",8.371550070874676
229254,1954,"(71, 139, 35)",6.824814475110482
229254,1954,"(170, 189, 190)",13.08263153506212
229254,1954,"(102, 59, 159)",1.2298840990577837
229254,1954,"(54, 99, 23)",5.461519219544734
229254,1954,"(109, 118, 137)",6.6246977403485365
229254,1954,"(125, 156, 160)",15.567414325022929
229254,1954,"(94, 204, 56)",8.388226465438173
301919,1955,"(222, 223, 209)",23.662634408602152
301919,1955,"(118, 139, 90)",5.739247311827957
301919,1955,"(148, 74, 56)",4.254032258064516
301919,1955,"(227, 182, 76)",5.17921146953405
301919,1955,"(55, 48, 37)",3.1137992831541217
301919,1955,"(191, 107, 107)",6.957885304659499
301919,1955,"(227, 147, 167)",6.12679211469534
301919,1955,"(30, 101, 134)",3.6917562724014337
301919,1955,"(234, 236, 223)",37.242383512544805
301919,1955,"(158, 166, 155)",4.032258064516129
300199,1956,"(234, 231, 229)",47.96937094116507
300199,1956,"(129, 135, 147)",2.0063972084908404
300199,1956,"(109, 126, 99)",0.9716971987981002
300199,1956,"(61, 72, 89)",2.0330522438693417
300199,1956,"(147, 161, 184)",2.7309295337791992
300199,1956,"(232, 224, 219)",29.965106135504506
300199,1956,"(80, 102, 160)",4.873025104196956
300199,1956,"(97, 124, 180)",4.126684113598914
300199,1956,"(80, 93, 125)",3.2325288359019093
300199,1956,"(194, 195, 199)",2.091208684695163
9223372032559859394,1958,"(125, 125, 125)",3.444602272727273
9223372032559859394,1958,"(253, 253, 253)",54.91437815656566
9223372032559859394,1958,"(9, 9, 9)",3.4544665404040407
9223372032559859394,1958,"(200, 200, 200)",4.6164772727272725
9223372032559859394,1958,"(225, 225, 225)",6.772806186868687
9223372032559859394,1958,"(51, 51, 51)",1.3514046717171717
9223372032559859394,1958,"(149, 149, 149)",4.1074810606060606
9223372032559859394,1958,"(173, 173, 173)",4.010811237373738
9223372032559859394,1958,"(93, 93, 93)",2.3279671717171717
9223372032559859394,1958,"(243, 243, 243)",14.999605429292927
9223372032559859125,1958,"(240, 230, 219)",30.53582702020202
9223372032559859125,1958,"(142, 134, 127)",3.8924400252525255
9223372032559859125,1958,"(69, 70, 56)",3.146701388888889
9223372032559859125,1958,"(248, 243, 234)",40.83806818181818
9223372032559859125,1958,"(185, 175, 163)",3.9180871212121215
9223372032559859125,1958,"(194, 146, 55)",1.452020202020202
9223372032559859125,1958,"(37, 27, 33)",2.5883838383838382
9223372032559859125,1958,"(220, 212, 201)",8.226799242424242
9223372032559859125,1958,"(101, 99, 97)",3.6833175505050506
9223372032559859125,1958,"(150, 52, 27)",1.7183554292929293
300220,1960,"(124, 112, 76)",2.6251916198262646
300220,1960,"(233, 224, 200)",33.66334525634475
300220,1960,"(158, 131, 82)",4.594617611991143
300220,1960,"(196, 115, 100)",0.7473173224322943
300220,1960,"(236, 228, 213)",43.10381536365185
300220,1960,"(96, 90, 62)",1.6436722875149037
300220,1960,"(206, 173, 121)",4.232669051268949
300220,1960,"(215, 196, 179)",2.7976494634644866
300220,1960,"(150, 93, 58)",1.3179185828649294
300220,1960,"(181, 155, 102)",5.273803440640436
306859,1960,"(232, 225, 232)",13.945944490806795
306859,1960,"(97, 89, 66)",4.825423318168358
306859,1960,"(240, 234, 195)",36.98986459202627
306859,1960,"(151, 126, 102)",5.538805287102592
306859,1960,"(176, 166, 145)",8.621826796241958
306859,1960,"(53, 45, 26)",3.5440277815166765
306859,1960,"(191, 202, 217)",6.510283468382373
306859,1960,"(216, 177, 47)",3.045333405120198
306859,1960,"(219, 211, 172)",15.540622392117804
306859,1960,"(145, 46, 22)",1.4378684685169731
229387,1961,"(253, 253, 253)",43.97879858657244
229387,1961,"(24, 24, 24)",10.76148409893993
229387,1961,"(132, 132, 132)",2.3074204946996466
229387,1961,"(100, 100, 100)",2.3321554770318023
229387,1961,"(201, 201, 201)",1.9293286219081274
229387,1961,"(13, 13, 13)",27.67667844522968
229387,1961,"(70, 70, 70)",2.7049469964664308
229387,1961,"(167, 167, 167)",2.07773851590106
229387,1961,"(43, 43, 43)",3.134275618374558
229387,1961,"(235, 235, 235)",3.097173144876325
9223372032559859124,1962,"(210, 210, 199)",22.30291357738647
9223372032559859124,1962,"(77, 89, 81)",4.853307460611678
9223372032559859124,1962,"(11, 17, 12)",9.79350092678406
9223372032559859124,1962,"(225, 223, 214)",28.526847775718256
9223372032559859124,1962,"(158, 29, 34)",3.8360171455050973
9223372032559859124,1962,"(175, 200, 188)",15.594589898053753
9223372032559859124,1962,"(113, 127, 118)",4.620163345690454
9223372032559859124,1962,"(41, 53, 46)",4.725150602409638
9223372032559859124,1962,"(188, 109, 107)",0.8789967562557924
9223372032559859124,1962,"(151, 167, 157)",4.868512511584801
9223372032559854964,1962,"(183, 198, 215)",17.014845423936332
9223372032559854964,1962,"(83, 81, 94)",8.463422099785737
9223372032559854964,1962,"(240, 202, 119)",9.220997857361493
9223372032559854964,1962,"(155, 151, 171)",9.2363024181206
9223372032559854964,1962,"(48, 50, 61)",11.618074686256504
9223372032559854964,1962,"(106, 124, 142)",7.003749617385981
9223372032559854964,1962,"(211, 159, 197)",7.3270584634221
9223372032559854964,1962,"(151, 119, 79)",4.577976737067646
9223372032559854964,1962,"(210, 225, 246)",16.437098255280073
9223372032559854964,1962,"(232, 170, 79)",9.100474441383533
9223372032559825945,1962,"(215, 213, 213)",19.255208333333336
9223372032559825945,1962,"(79, 62, 52)",3.990364583333333
9223372032559825945,1962,"(145, 139, 135)",9.946354166666667
9223372032559825945,1962,"(160, 42, 55)",5.11328125
9223372032559825945,1962,"(180, 160, 151)",11.5515625
9223372032559825945,1962,"(236, 235, 235)",12.165624999999999
9223372032559825945,1962,"(196, 41, 62)",5.43984375
9223372032559825945,1962,"(168, 125, 106)",8.995572916666667
9223372032559825945,1962,"(121, 99, 87)",8.047916666666667
9223372032559825945,1962,"(198, 194, 193)",15.494270833333335
229270,1962,"(186, 210, 188)",16.41755634638197
229270,1962,"(177, 72, 56)",1.8030842230130486
229270,1962,"(24, 26, 22)",4.4208608710388075
229270,1962,"(223, 241, 217)",28.370191492967294
229270,1962,"(224, 54, 36)",10.2910523640061
229270,1962,"(84, 83, 72)",2.100067785121166
229270,1962,"(245, 190, 29)",1.729791560752415
229270,1962,"(142, 148, 132)",1.618793424843247
229270,1962,"(213, 177, 126)",1.3400271140484663
229270,1962,"(205, 229, 207)",31.908574817827486
229271,1962,"(228, 225, 219)",30.3781512605042
229271,1962,"(143, 60, 53)",2.3144257703081235
229271,1962,"(229, 51, 53)",15.644257703081232
229271,1962,"(84, 70, 61)",4.404761904761905
229271,1962,"(156, 152, 150)",5.700280112044818
229271,1962,"(217, 179, 168)",3.2317927170868352
229271,1962,"(46, 31, 24)",3.312324929971989
229271,1962,"(195, 73, 68)",6.582633053221289
229271,1962,"(122, 110, 99)",4.390756302521008
229271,1962,"(243, 232, 223)",24.0406162464986
229273,1962,"(226, 217, 207)",14.173573775388293
229273,1962,"(190, 88, 65)",12.726814516129032
229273,1962,"(205, 183, 170)",9.942502986857825
229273,1962,"(247, 234, 225)",19.986745818399044
229273,1962,"(217, 122, 106)",10.03770908004779
229273,1962,"(133, 105, 98)",2.175739247311828
229273,1962,"(217, 76, 49)",11.609543010752688
229273,1962,"(177, 146, 135)",6.958445340501792
229273,1962,"(238, 203, 101)",4.680032855436081
229273,1962,"(243, 161, 148)",7.708893369175628
229278,1962,"(201, 198, 168)",11.148148148148149
229278,1962,"(53, 97, 75)",5.703703703703704
229278,1962,"(251, 251, 249)",26.728395061728392
229278,1962,"(17, 42, 27)",4.222222222222222
229278,1962,"(220, 217, 192)",18.53909465020576
229278,1962,"(189, 57, 56)",1.6337448559670782
229278,1962,"(131, 190, 162)",6.049382716049383
229278,1962,"(235, 233, 215)",18.74897119341564
229278,1962,"(96, 147, 121)",5.8765432098765435
229278,1962,"(209, 136, 124)",1.3497942386831276
229311,1962,"(147, 152, 139)",4.957948597306357
229311,1962,"(28, 15, 10)",19.516555901899665
229311,1962,"(232, 237, 220)",7.168146797623949
229311,1962,"(87, 91, 80)",5.870728694936187
229311,1962,"(208, 214, 196)",7.8350879256601775
229311,1962,"(10, 4, 2)",26.37299300123508
229311,1962,"(45, 34, 27)",10.581662059636535
229311,1962,"(116, 121, 109)",5.4519790625183795
229311,1962,"(62, 63, 52)",6.61177439275422
229311,1962,"(181, 185, 169)",5.633123566429454
300230,1962,"(201, 203, 203)",15.159489633173845
300230,1962,"(121, 118, 115)",8.869617224880383
300230,1962,"(240, 240, 240)",30.121610845295056
300230,1962,"(152, 166, 163)",8.777910685805422
300230,1962,"(174, 67, 62)",3.381180223285486
300230,1962,"(145, 93, 91)",7.256778309409888
300230,1962,"(112, 152, 147)",7.294657097288676
300230,1962,"(93, 89, 79)",2.7372408293460926
300230,1962,"(178, 185, 184)",9.505582137161085
300230,1962,"(153, 136, 133)",6.895933014354067
229307,1962,"(63, 56, 54)",7.511547344110854
229307,1962,"(197, 195, 189)",9.627020785219399
229307,1962,"(245, 245, 242)",12.572748267898385
229307,1962,"(128, 132, 118)",10.862586605080832
229307,1962,"(34, 27, 27)",7.469976905311778
229307,1962,"(222, 221, 215)",10.153579676674365
229307,1962,"(173, 172, 164)",10.227482678983833
229307,1962,"(85, 89, 75)",10.0635103926097
229307,1962,"(151, 151, 141)",10.275981524249422
229307,1962,"(106, 113, 95)",11.235565819861431
229350,1962,"(55, 66, 69)",18.364734299516908
229350,1962,"(143, 179, 188)",10.280193236714975
229350,1962,"(118, 143, 148)",3.248792270531401
229350,1962,"(222, 240, 237)",11.830917874396135
229350,1962,"(132, 167, 175)",7.804347826086956
229350,1962,"(68, 81, 84)",21.69806763285024
229350,1962,"(177, 199, 201)",1.4927536231884058
229350,1962,"(96, 117, 121)",3.229468599033816
229350,1962,"(210, 232, 226)",11.76328502415459
229350,1962,"(77, 92, 97)",10.287439613526569
300216,1962,"(183, 100, 104)",3.8095238095238098
300216,1962,"(84, 79, 74)",9.646616541353383
300216,1962,"(214, 214, 209)",10.68671679197995
300216,1962,"(146, 50, 57)",14.616541353383457
300216,1962,"(118, 107, 102)",9.373433583959901
300216,1962,"(184, 175, 170)",7.709273182957394
300216,1962,"(147, 142, 137)",7.842105263157895
300216,1962,"(105, 51, 51)",13.496240601503759
300216,1962,"(57, 50, 46)",15.724310776942355
300216,1962,"(248, 249, 247)",7.095238095238095
9223372032559811415,1963,"(241, 230, 215)",28.54186380808599
9223372032559811415,1963,"(30, 20, 21)",11.337286996973353
9223372032559811415,1963,"(115, 93, 85)",2.0384723737151194
9223372032559811415,1963,"(17, 8, 9)",30.063494585984962
9223372032559811415,1963,"(212, 190, 177)",2.1114297478275317
9223372032559811415,1963,"(84, 65, 58)",3.1750904743674013
9223372032559811415,1963,"(177, 156, 145)",1.6704349270787435
9223372032559811415,1963,"(54, 38, 34)",4.7097235565636355
9223372032559811415,1963,"(146, 122, 112)",1.4436169521154028
9223372032559811415,1963,"(235, 222, 205)",14.908586577287863
9223372032559811414,1963,"(198, 72, 112)",11.327717609306056
9223372032559811414,1963,"(212, 206, 194)",35.33293221018853
9223372032559811414,1963,"(42, 43, 46)",14.28600080224629
9223372032559811414,1963,"(19, 133, 150)",9.249899719213799
9223372032559811414,1963,"(238, 203, 77)",6.1131167268351385
9223372032559811414,1963,"(208, 128, 137)",3.6863217007621336
9223372032559811414,1963,"(83, 84, 81)",5.104292017649419
9223372032559811414,1963,"(167, 175, 169)",6.058965102286402
9223372032559811414,1963,"(124, 130, 128)",4.833533894905736
9223372032559811414,1963,"(221, 197, 135)",4.007220216606498
9223372032559811413,1963,"(214, 205, 156)",10.710643523143522
9223372032559811413,1963,"(63, 63, 47)",9.385753135753136
9223372032559811413,1963,"(152, 145, 113)",3.122918747918748
9223372032559811413,1963,"(226, 220, 173)",20.049741924741923
9223372032559811413,1963,"(40, 40, 26)",21.518412143412142
9223372032559811413,1963,"(89, 86, 65)",4.3782606282606285
9223372032559811413,1963,"(183, 175, 138)",3.418976856476857
9223372032559811413,1963,"(242, 241, 233)",0.6278443778443779
9223372032559811413,1963,"(120, 115, 88)",3.366251803751804
9223372032559811413,1963,"(49, 48, 36)",23.42119685869686
229288,1963,"(180, 178, 168)",9.94417392159756
229288,1963,"(63, 58, 54)",7.235256504844818
229288,1963,"(90, 86, 80)",6.986867345433083
229288,1963,"(211, 209, 200)",12.45142885249127
229288,1963,"(110, 110, 101)",8.923564999262211
229288,1963,"(28, 18, 26)",11.49476169396488
229288,1963,"(227, 225, 220)",8.681324086370568
229288,1963,"(195, 193, 184)",14.208597707933698
229288,1963,"(128, 130, 120)",6.860213467119178
229288,1963,"(44, 36, 38)",13.213811420982735
229291,1963,"(39, 14, 14)",5.343757680019661
229291,1963,"(163, 67, 63)",7.15624231998034
229291,1963,"(86, 39, 41)",4.803084295895797
229291,1963,"(170, 82, 79)",0.6266896043253871
229291,1963,"(33, 23, 26)",17.63793315310887
229291,1963,"(112, 49, 51)",4.442123371835832
229291,1963,"(161, 58, 58)",14.960678299336447
229291,1963,"(57, 30, 32)",6.306832145490294
229291,1963,"(27, 18, 22)",27.929159498648314
229291,1963,"(157, 51, 55)",10.793499631359056
229297,1963,"(221, 204, 224)",9.869397600296871
229297,1963,"(114, 101, 123)",12.638642642147364
229297,1963,"(94, 72, 93)",10.603327423411537
229297,1963,"(213, 58, 48)",5.620438708613367
229297,1963,"(15, 16, 17)",5.428194450171113
229297,1963,"(52, 80, 133)",13.615841339215768
229297,1963,"(186, 168, 189)",10.227600709190614
229297,1963,"(141, 127, 149)",10.778048076526616
229297,1963,"(72, 108, 162)",14.291530944625407
229297,1963,"(55, 44, 56)",6.926978105801345
229298,1963,"(27, 11, 4)",11.364942528735632
229298,1963,"(205, 123, 15)",27.71312260536398
229298,1963,"(204, 124, 23)",18.491379310344826
229298,1963,"(142, 87, 17)",5.32088122605364
229298,1963,"(149, 102, 53)",1.6846264367816093
229298,1963,"(200, 117, 6)",15.712404214559387
229298,1963,"(72, 46, 32)",2.8065134099616857
229298,1963,"(121, 68, 2)",4.9030172413793105
229298,1963,"(38, 21, 16)",7.150383141762452
229298,1963,"(177, 113, 33)",4.852729885057471
229296,1963,"(93, 118, 111)",13.323765786452354
229296,1963,"(109, 133, 131)",11.808266360505167
229296,1963,"(56, 72, 67)",4.968427095292767
229296,1963,"(146, 165, 172)",15.792192881745121
229296,1963,"(77, 95, 91)",6.185419058553387
