contentId,completitionYear,paleta_rgb,paleta_dominancia
205869,1862,"(236, 228, 218)",15.992498965749993
205869,1862,"(131, 123, 120)",2.130282840159383
205869,1862,"(60, 53, 51)",1.876619417771681
205869,1862,"(252, 250, 240)",34.96227709190672
205869,1862,"(193, 186, 179)",3.6778474535676184
205869,1862,"(164, 156, 151)",2.620462908528752
205869,1862,"(246, 240, 229)",28.426361399612425
205869,1862,"(95, 88, 86)",1.9291484312060445
205869,1862,"(218, 210, 202)",6.576197008295774
205869,1862,"(23, 18, 17)",1.8083044832016024
206319,1862,"(204, 196, 188)",8.153061132116465
206319,1862,"(50, 45, 45)",3.839805429741368
206319,1862,"(236, 227, 216)",30.18766011762327
206319,1862,"(141, 135, 131)",3.7040166326188833
206319,1862,"(21, 17, 18)",3.196166531380791
206319,1862,"(223, 214, 205)",17.550852904522372
206319,1862,"(109, 103, 101)",3.694964046144051
206319,1862,"(174, 167, 162)",4.107158483631415
206319,1862,"(79, 74, 73)",3.8527808036886277
206319,1862,"(247, 239, 227)",21.713533918532757
205714,1864,"(229, 220, 211)",28.009753447950125
205714,1864,"(124, 118, 115)",3.5458388437559036
205714,1864,"(197, 190, 184)",12.256399962214246
205714,1864,"(28, 23, 22)",2.03653410164368
205714,1864,"(153, 146, 142)",4.729831853391271
205714,1864,"(177, 170, 165)",7.141743812582655
205714,1864,"(214, 207, 198)",18.75047232193463
205714,1864,"(241, 232, 222)",18.03573115435481
205714,1864,"(93, 88, 85)",2.9804694880030227
205714,1864,"(61, 56, 55)",2.513225014169658
206359,1873,"(50, 34, 18)",9.718758380262805
206359,1873,"(133, 93, 50)",11.393972914990615
206359,1873,"(87, 63, 37)",15.952835880933225
206359,1873,"(128, 97, 66)",7.416197371949584
206359,1873,"(172, 131, 81)",4.4986926790024135
206359,1873,"(24, 15, 7)",5.754223652453741
206359,1873,"(72, 50, 27)",13.595300348618933
206359,1873,"(104, 78, 52)",11.707059533386968
206359,1873,"(157, 114, 63)",9.130966747117188
206359,1873,"(112, 76, 39)",10.831992491284527
205877,1873,"(45, 23, 8)",2.943527339162208
205877,1873,"(219, 176, 109)",18.424164817956417
205877,1873,"(118, 85, 51)",6.910030340597677
205877,1873,"(246, 214, 143)",9.869258123450345
205877,1873,"(173, 132, 82)",11.127740441080517
205877,1873,"(235, 194, 124)",18.621337922484667
205877,1873,"(184, 149, 110)",5.400544825786246
205877,1873,"(86, 57, 31)",4.959301187524468
205877,1873,"(146, 109, 69)",8.910307647135586
205877,1873,"(201, 156, 93)",12.83378735482187
205770,1873,"(217, 213, 159)",21.52026575854701
205770,1873,"(148, 119, 76)",6.844784989316239
205770,1873,"(207, 182, 127)",13.271233974358973
205770,1873,"(89, 67, 40)",3.752837873931624
205770,1873,"(171, 142, 94)",8.174579326923077
205770,1873,"(216, 200, 142)",17.768930288461537
205770,1873,"(121, 95, 59)",5.392294337606838
205770,1873,"(215, 216, 180)",10.988080929487179
205770,1873,"(191, 163, 111)",10.286625267094017
205770,1873,"(49, 35, 18)",2.0003672542735043
205627,1878,"(115, 93, 63)",9.979092728233784
205627,1878,"(182, 155, 112)",13.7990353394246
205627,1878,"(20, 11, 4)",7.875858944347957
205627,1878,"(228, 203, 153)",8.027590047572303
205627,1878,"(57, 40, 21)",7.4553537718039715
205627,1878,"(161, 135, 95)",14.266735256361851
205627,1878,"(87, 68, 43)",8.012723703088424
205627,1878,"(249, 236, 183)",6.945886506078683
205627,1878,"(204, 177, 130)",11.027995922374084
205627,1878,"(140, 115, 80)",12.609727780714339
205645,1879,"(251, 246, 233)",18.096540508574808
205645,1879,"(91, 86, 83)",4.152621722846442
205645,1879,"(205, 199, 191)",8.659816676522768
205645,1879,"(58, 54, 52)",4.0437118076089105
205645,1879,"(152, 147, 142)",4.703824167159472
205645,1879,"(226, 218, 208)",19.181574019317956
205645,1879,"(240, 232, 221)",27.777079637295486
205645,1879,"(122, 117, 114)",4.276192588212104
205645,1879,"(24, 20, 20)",3.257318154937906
205645,1879,"(180, 174, 168)",5.851320717524147
205679,1879,"(213, 195, 181)",23.752754349973408
205679,1879,"(107, 94, 91)",4.047564774713168
205679,1879,"(183, 166, 155)",9.449889826001064
205679,1879,"(51, 41, 40)",1.949699870830484
205679,1879,"(147, 133, 126)",5.313426031456577
205679,1879,"(81, 70, 67)",3.089430894308943
205679,1879,"(205, 187, 173)",25.099916419724945
205679,1879,"(167, 151, 142)",6.79735582402553
205679,1879,"(128, 115, 110)",5.175898487956842
205679,1879,"(195, 177, 165)",15.324063521009043
205803,1879,"(92, 86, 85)",7.669383743785409
205803,1879,"(248, 242, 230)",17.9919643889467
205803,1879,"(42, 37, 37)",10.306827378887732
205803,1879,"(177, 170, 166)",7.518210197710717
205803,1879,"(120, 114, 112)",6.929558330442825
205803,1879,"(229, 220, 211)",12.639033414267544
205803,1879,"(65, 60, 60)",9.129234593594635
205803,1879,"(204, 196, 190)",9.623366863221182
205803,1879,"(149, 143, 140)",6.917562724014337
205803,1879,"(22, 17, 18)",11.274858365128916
205804,1879,"(243, 209, 134)",21.385359076041336
205804,1879,"(100, 66, 17)",4.407280902345597
205804,1879,"(201, 168, 58)",10.814011829295357
205804,1879,"(216, 184, 74)",10.089877558109242
205804,1879,"(159, 130, 39)",7.050298626991249
205804,1879,"(227, 194, 97)",9.375150760799297
205804,1879,"(63, 35, 6)",3.4735288158161346
205804,1879,"(235, 200, 120)",18.454327920417597
205804,1879,"(133, 97, 29)",4.615692631294565
205804,1879,"(182, 149, 47)",10.334471878889628
206321,1880,"(137, 137, 139)",12.539573120915032
206321,1880,"(48, 52, 53)",11.071112472766885
206321,1880,"(241, 240, 241)",4.76281658496732
206321,1880,"(91, 94, 96)",13.409330746187365
206321,1880,"(183, 182, 184)",8.414181644880173
206321,1880,"(114, 115, 117)",13.06849128540305
206321,1880,"(23, 27, 28)",5.3470520152505445
206321,1880,"(210, 208, 210)",6.757216775599129
206321,1880,"(69, 73, 74)",13.818678513071895
206321,1880,"(159, 159, 161)",10.811546840958606
207061,1880,"(72, 54, 40)",11.305548977819875
207061,1880,"(175, 146, 123)",5.748677875128266
207061,1880,"(211, 194, 180)",8.151393164417081
207061,1880,"(101, 78, 60)",15.576604309732417
207061,1880,"(189, 164, 144)",9.734785697371537
207061,1880,"(153, 123, 98)",5.304286052569263
207061,1880,"(87, 67, 51)",14.994080037887759
207061,1880,"(133, 105, 82)",7.869602967874339
207061,1880,"(200, 180, 164)",9.535085642118556
207061,1880,"(116, 90, 70)",11.779935275080906
205631,1881,"(91, 83, 55)",14.056551395939088
205631,1881,"(212, 192, 153)",3.703501744923858
205631,1881,"(50, 47, 33)",14.0416798857868
205631,1881,"(135, 122, 83)",11.310279187817258
205631,1881,"(228, 225, 218)",2.5831813134517767
205631,1881,"(159, 143, 102)",8.200150697969544
205631,1881,"(69, 64, 44)",14.089268718274111
205631,1881,"(113, 102, 68)",14.49922668147208
205631,1881,"(189, 167, 123)",6.828006027918781
205631,1881,"(30, 30, 21)",10.6881543464467
205639,1881,"(113, 97, 84)",14.919921875
205639,1881,"(51, 41, 48)",11.63232421875
205639,1881,"(231, 220, 178)",4.35986328125
205639,1881,"(162, 148, 126)",6.1416015625
205639,1881,"(28, 22, 34)",8.47607421875
205639,1881,"(74, 62, 61)",11.7392578125
205639,1881,"(143, 128, 110)",12.015625
205639,1881,"(95, 80, 73)",12.9111328125
205639,1881,"(197, 183, 149)",2.64501953125
205639,1881,"(128, 113, 96)",15.159179687499998
205650,1881,"(131, 121, 110)",6.568145751953125
205650,1881,"(228, 212, 192)",13.619232177734375
205650,1881,"(46, 45, 48)",10.434722900390625
205650,1881,"(191, 174, 154)",10.703277587890625
205650,1881,"(71, 67, 66)",8.76312255859375
205650,1881,"(25, 24, 30)",16.555023193359375
205650,1881,"(163, 149, 132)",7.01751708984375
205650,1881,"(211, 194, 173)",13.222503662109375
205650,1881,"(237, 228, 216)",5.69000244140625
205650,1881,"(100, 93, 87)",7.42645263671875
205651,1881,"(203, 191, 172)",14.142003277740287
205651,1881,"(116, 103, 92)",9.047045213535139
